Index,Name,Affiliation,Country
624,"Pan Hui 0001","University of Helsinki, Department of Computer Science, Finland",Finland
634,"Ying Zhang 0022","Facebook",United States
636,"Wolfgang Kellerer","Technical University Munich, Germany",Germany
666,"Hao Dong 0003","Peking University, Beijing, China",China
666,"Chao Wu 0001","Zhejiang University, Hangzhou, China",China
668,"Yike Guo","Imperial College London, UK",United Kingdom
672,"Jun Xiao 0001","Zhejiang University, College of Computer Science and Technology, Hangzhou, China",China
678,"Sarvapali D. Ramchurn","University of Southampton, UK",United Kingdom
678,"Timothy J. Norman","University of Southampton, UK",United Kingdom
680,"Jan Ole Berndt","University of Trier, Germany",Germany
680,"Thomas Ellwart","University of Trier, Germany",Germany
684,"Conny H. Antoni","University of Trier, Germany",Germany
686,"Ingo J. Timm","University of Trier",Germany
696,"Anna-Sophie Ulfert-Blank","Eindhoven University of Technology, The Netherlands",Netherlands
698,"Lukas Reuter 0001","University of Trier, Germany",Germany
710,"Manuel Cebrián","Autonomous University of Madrid, Spain",Spain
710,"Iyad Rahwan","Max-Planck-Institut für Bildungsforschung, Berlin, Germany",Germany
712,"Dashun Wang","Northwestern University, Evanston, IL, USA",United States
716,"Paolo Torroni","University of Bologna, Italy",Italy
718,"Xu Chen 0004","Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China",China
720,"Junshan Zhang","Arizona State University, Tempe, Arizona, USA",United States
720,"Zhi Zhou 0006","Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China",China
724,"Raja Chatila 0001","Sorbonne University, Paris, France",France
724,"Raj Madhavan 0001","U.S. Department of State, Bureau of Economic and Business Affairs, Division for International Communications and Information Policy, Washington, D.C.",United States
726,"José M. Peña 0003","Spanish National Research Council, Institute of Agricultural Sciences, Madrid, Spain",Spain
726,"Jim Owen","Virginia Tech, Blacksburg, VA, USA",United States
728,"Hui Xiong 0001","Hong Kong University of Science and Technology",Hong Kong
730,"Patricia Ordóñez de Pablos","University of Oviedo, Department of Business Administration, Spain",Spain
732,"Xi Zhang 0009","Tianjin University, College of Management and Economics, China",China
734,"Tim Miller 0001","University of Melbourne, School of Computing and Information Systems, Australia",Australia
736,"Simone Stumpf","University of Glasgow, UK",United Kingdom
738,"Guang-Zhong Yang","Imperial College London, UK",United Kingdom
742,"Mark Stefik","PARC, Palo Alto, CA, USA",United States
746,"Zechao Shang","University of Chicago",United States
746,"Aaron J. Elmore","University of Chicago, IL, USA",United States
750,"Michael J. Franklin","University of Chicago",United States
756,"Rui Liu 0002","University of Chicago, Department of Computer Science, IL, USA",United States
758,"Fei-Yue Wang 0001","Chinese Academy of Sciences, Institute of Automation, State Key Laboratory of Management and Control for Complex Systems, Beijing, China",China
758,"Nanning Zheng 0001","Xi'an Jiaotong University, Institute of Artificial Intelligence and Robotics, China",China
760,"Li Li 0013","Tsinghua University, Department of Automation, Beijing, China",China
764,"Yew-Soon Ong","Nanyang Technological University, Singapore",Singapore
764,"Abhishek Gupta 0001","Nanyang Technological University, Singapore",Singapore
766,"Guangjie Han","Hohai University, Department of Information and Communication Engineering, Changzhou, China",China
766,"Mohsen Guizani","Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Doha, Qatar",Qatar
768,"Jaime Lloret Mauri","Polytechnic University of Valencia, Spain",Spain
772,"Li He 0002","Guangdong University of Technology, School of Electromechanical Engineering, Guangzhou, China",China
772,"Xiaojun Wu 0002","Shaanxi Normal University, School of Computer Science, China",China
774,"Valeriy Vyatkin","Aalto University, Helsinki, Finland",Finland
774,"Evgeny Osipov","Luleå University of Technology, Sweden",Sweden
776,"John Panneerselvam","University of Derby, UK",United Kingdom
776,"Lu Liu 0001","University of Leicester, School of Informatics, UK",United Kingdom
778,"Bo Yuan 0004","Tongji University, MoE Key Laboratory of Embedded System and Service Computing, Shanghai, China",China
782,"Han-Chieh Chao","National Ilan University, Yilan, Taiwan",Taiwan
784,"Victor C. M. Leung","Shenzhen University, Shenzhen, China",China
784,"Wenyu Zhang 0002","University of Science and Technology Beijing, Institute of Artificial Intelligence, School of Intelligence Science and Technology, China",China
786,"Zhenjiang Zhang","Beijing Jiaotong University, China",China
794,"Lajos Hanzo","University of Southampton, UK",United Kingdom
794,"Rose Qingyang Hu","Utah State University, Logan, UT, USA",United States
796,"Tu Lam Thanh","CentraleSupélec, Gif-sur-Yvette, France",France
798,"George K. Karagiannidis","Aristotle University of Thessaloniki, Greece",Greece
798,"Haijun Zhang 0001","University of Science and Technology Beijing, Communications Engineering, China",China
800,"Min Chen 0003","Huazhong University of Science and Technology, School of Computer Science and Technology, Wuhan, China",China
802,"Kai Hwang 0001","Chinese University of Hongkong at Shenzhen, China",China
806,"Jiajia Liu 0001","Northwestern Polytechnical University, National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, School of Cybersecurity, Xi'an, China",China
806,"Nei Kato","Tohoku University, Miyagi, Japan",Japan
808,"Georg Langs","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",United States
808,"Andreas Holzinger","University of Natural Resources and Life Sciences Vienna, Austria",Austria
810,"Jialin Liu 0001","Southern University of Science and Technology, Department of Computer Science and Engineering, Shenzhen, China",China
812,"Diego Perez Liebana","Queen Mary University of London, UK",United Kingdom
814,"Simon M. Lucas","Queen Mary University of London, Game AI Research Group School of Electronic Engineering and Computer Science, UK",United Kingdom
822,"Ahmed Khalifa 0001","University of Malta, Institute of Digital Games, Malta",Malta
830,"Raluca D. Gaina","Queen Mary University of London, UK",United Kingdom
