author,name,aff
https://dblp.org/pid/17/659,Lucia Maddalena 0001,"National Research Council, Institute for High-Performance Computing and Networking, Naples, Italy"
https://dblp.org/pid/17/6670,Katie Atkinson,"University of Liverpool, UK"
https://dblp.org/pid/17/8302,Ivica Dimitrovski,"Ss. Cyril and Methodius University in Skopje, Macedonia"
https://dblp.org/pid/170/3704,Pedro Achanccaray Diaz,"Pontifical Catholic University of Rio de Janeiro, Brazil"
https://dblp.org/pid/172/6953,Benjamin van Giffen,"University of St. Gallen, Switzerland"
https://dblp.org/pid/174/0064,Toufique Ahmed Soomro,"Guangdong University of Technology, Guangzhou, China"
https://dblp.org/pid/174/1009,Ulrich Rendtel,"Free University of Berlin, Germany"
https://dblp.org/pid/175/1473,Ryan Marcus,"University of Pennsylvania, Department of Computer and Information Science, Philadelphia, PA, USA"
https://dblp.org/pid/175/8591,Solomon Sunday Oyelere,"Luleå University of Technology, Sweden"
https://dblp.org/pid/178/2147,Justus Bogner,"University of Stuttgart, Institute of Software Engineering, Germany"
https://dblp.org/pid/178/4295,Clemens Neudecker,"Berlin State Library - Prussian Cultural Heritage, Germany"
https://dblp.org/pid/178/7471,John T. McDevitt,"Rice University, Houston, TX, USA"
https://dblp.org/pid/179/6075,Brent D. Mittelstadt 0002,"University of Oxford, Internet Institute, UK"
https://dblp.org/pid/18/188-1,Abhijit Dasgupta 0001,"Indian Statistical Institute, Kolkata, India"
https://dblp.org/pid/18/2190-1,Hoang Nguyen 0001,"Hanoi University of Mining Land Geology, Hanoi, Vietnam"
https://dblp.org/pid/18/6635,Rustam M. Vahidov,"Concordia University, Montréal, Canada"
https://dblp.org/pid/18/8544,Shuihua Wang,"Loughborough University, School of Architecture, Building and Civil Engineering, UK"
https://dblp.org/pid/18/8763-1,Xiaobo Qu 0001,"Xiamen University, Fujian Provincial Key Laboratory of Plasma and Magnetic Resonance, China"
https://dblp.org/pid/18/931-1,Xi Peng 0001,"Sichuan Univerisity, China"
https://dblp.org/pid/180/6176,X. P. Blanco-Valencia,"Yachay Tech, Urcuquí, Ecuador"
https://dblp.org/pid/180/8418,Methanias Colaço Júnior,"Federal University of Sergipe, Brazil"
https://dblp.org/pid/181/2471-1,Jianwu Wang 0001,"University of California, San Diego, Supercomputer Center (SDSC), La Jolla, CA, USA"
https://dblp.org/pid/181/2494,Maria Madalina Stanciu,"University of Cagliari, Department of Mathematics and Computer Science, Italy"
https://dblp.org/pid/181/2613-7,Ke Wang 0007,"RMIT University, School of Engineering, Melbourne, Australia"
https://dblp.org/pid/181/2624-3,Simon Michalke,"University of Bremen, Germany"
https://dblp.org/pid/181/2667-8,Jian Tang 0008,"Midea Group Co Ltd, Foshan, China"
https://dblp.org/pid/181/2754-4,Zhiyong Huang 0004,"Chongqing University, School of Microelectronics and Communication Engineering, Chongqing, China"
https://dblp.org/pid/181/5689,Chengliang Chai,"Tsinghua University, China"
https://dblp.org/pid/181/8127,Stephen Baek,"University of Iowa, Department of Industrial and System Engineering, Iowa City, IA, USA"
https://dblp.org/pid/182/8787,Melvin Galicia,"RWTH Aachen University, Aachen, Germany"
https://dblp.org/pid/183/5108-1,Shuo Gao 0001,"Beihang University, School of Instrumentation and Optoelectronic Engineering, Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, China"
https://dblp.org/pid/183/5343,Ata Ullah,"National University of Modern Languages, Islamabad, Pakistan"
https://dblp.org/pid/184/3556,Baijian Justin Yang,"Purdue University, USA"
https://dblp.org/pid/185/9576,Brij B. Gupta,"National Institute of Technology Kurukshetra, India"
https://dblp.org/pid/186/7381,Soheil Human,"University of Vienna, Department of Philosophy, Austria"
